game_id,game_no,team,player_name,starter,minutes,minutes_float,points,rebounds,assists,steals,blocks,turnovers,fouls,fgm,fga,fg_pct,three_pm,three_pa,three_pct,ftm,fta,ft_pct,efficiency,source_url
125119-AUS-PHI,8,Australia,Alex Brooke Wilson,FALSE,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125119-AUS-PHI
125119-AUS-PHI,8,Australia,Chloe Bibby,FALSE,19:54,19.9,16,10,2,0,0,2,0,7,10,70,2,4,50,0,0,0,23,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125119-AUS-PHI
125119-AUS-PHI,8,Philippines,Khate Castillo,FALSE,10:19,10.32,6,0,2,0,0,0,1,2,2,100,2,2,100,0,0,0,8,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125119-AUS-PHI
125119-AUS-PHI,8,Philippines,Sumayah Sugapong,FALSE,15:12,15.2,2,0,0,1,0,5,1,1,7,14.3,0,4,0,0,0,0,-8,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125119-AUS-PHI
125119-AUS-PHI,8,Philippines,Vanessa De Jesus,TRUE,29:56:00,29.93,9,3,1,0,0,4,0,4,7,57.1,1,3,33.3,0,0,0,6,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125119-AUS-PHI
125119-AUS-PHI,8,Philippines,Yvette Marie Villanueva,FALSE,2:08,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125119-AUS-PHI
125119-AUS-PHI,8,Philippines,Ella Fajardo,FALSE,7:51,7.85,0,1,0,0,0,1,1,0,2,0,0,1,0,0,0,0,-2,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125119-AUS-PHI
125119-AUS-PHI,8,Philippines,Angelica Surada,FALSE,13:44,13.73,2,2,1,0,0,0,0,1,2,50,0,0,0,0,0,0,4,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125119-AUS-PHI
125119-AUS-PHI,8,Philippines,Louna Ozar,TRUE,23:19,23.32,2,1,0,1,0,2,1,1,4,25,0,1,0,0,0,0,-1,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125119-AUS-PHI
125119-AUS-PHI,8,Philippines,Jack Animam,TRUE,29:56:00,29.93,2,5,0,2,0,0,1,1,11,9.1,0,0,0,0,2,0,-3,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125119-AUS-PHI
125119-AUS-PHI,8,Philippines,Quinn Kacey Dela Rosa,FALSE,16:47,16.78,0,3,0,1,0,2,3,0,3,0,0,0,0,0,2,0,-3,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125119-AUS-PHI
125119-AUS-PHI,8,Philippines,Kent Jane Pastrana,TRUE,25:09:00,25.15,8,1,1,0,0,4,3,3,14,21.4,2,8,25,0,0,0,-5,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125119-AUS-PHI
125119-AUS-PHI,8,Philippines,Naomi Natalie Panganiban,TRUE,20:25,20.42,8,3,2,0,0,2,2,4,10,40,0,3,0,0,0,0,5,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125119-AUS-PHI
125119-AUS-PHI,8,Philippines,Cielo Pagdulagan,FALSE,5:14,5.23,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-2,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125119-AUS-PHI
125120-PHI-JPN,9,Philippines,Cielo Pagdulagan,FALSE,2:42,2.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN
125120-PHI-JPN,9,Philippines,Naomi Natalie Panganiban,TRUE,24:43:00,24.72,13,3,2,0,0,2,2,5,10,50,3,5,60,0,0,0,11,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN
125120-PHI-JPN,9,Philippines,Kent Jane Pastrana,FALSE,13:00,13,0,0,3,0,0,3,3,0,7,0,0,3,0,0,0,0,-7,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN
125120-PHI-JPN,9,Philippines,Quinn Kacey Dela Rosa,FALSE,21:08,21.13,4,7,1,2,2,1,2,2,4,50,0,2,0,0,0,0,13,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN
125120-PHI-JPN,9,Philippines,Jack Animam,TRUE,29:48:00,29.8,24,14,3,1,2,1,3,10,18,55.6,0,1,0,4,8,50,31,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN
125120-PHI-JPN,9,Philippines,Louna Ozar,TRUE,19:20,19.33,2,0,3,0,0,2,1,1,2,50,0,0,0,0,0,0,2,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN
125120-PHI-JPN,9,Philippines,Angelica Surada,TRUE,18:04,18.07,6,3,0,3,1,0,0,3,4,75,0,0,0,0,0,0,12,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN
125120-PHI-JPN,9,Philippines,Ella Fajardo,FALSE,6:16,6.27,3,0,0,1,0,0,1,1,2,50,1,2,50,0,0,0,3,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN
125120-PHI-JPN,9,Philippines,Yvette Marie Villanueva,FALSE,6:12,6.2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN
125120-PHI-JPN,9,Philippines,Vanessa De Jesus,TRUE,31:02:00,31.03,13,1,6,0,0,2,3,5,9,55.6,1,3,33.3,2,2,100,14,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN
125120-PHI-JPN,9,Philippines,Sumayah Sugapong,FALSE,18:16,18.27,12,2,2,4,0,1,2,5,9,55.6,2,4,50,0,2,0,13,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN
125120-PHI-JPN,9,Philippines,Khate Castillo,FALSE,9:29,9.48,5,0,0,0,0,1,2,2,3,66.7,1,1,100,0,0,0,3,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN
125120-PHI-JPN,9,Japan,Monica Okoye,FALSE,19:05,19.08,8,2,1,0,0,1,1,3,9,33.3,0,4,0,2,2,100,4,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN
125120-PHI-JPN,9,Japan,Miwa Kuribayashi,FALSE,17:16,17.27,2,5,0,1,0,0,1,1,3,33.3,0,1,0,0,2,0,4,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN
125120-PHI-JPN,9,Japan,Nanako Todo,FALSE,16:21,16.35,8,1,1,0,0,1,2,2,4,50,0,2,0,4,4,100,7,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN
125120-PHI-JPN,9,Japan,Anri Hoshi,FALSE,14:39,14.65,4,2,3,2,0,1,2,0,5,0,0,4,0,4,4,100,5,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN
125120-PHI-JPN,9,Japan,Yuki Miyazawa,FALSE,17:24,17.4,5,8,3,0,2,0,0,1,6,16.7,1,5,20,2,2,100,13,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN
125120-PHI-JPN,9,Japan,Minami Yabu,FALSE,21:19,21.32,15,1,0,1,0,2,0,5,8,62.5,5,8,62.5,0,0,0,12,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN
125120-PHI-JPN,9,Japan,Kokoro Tanaka,TRUE,21:19,21.32,3,1,7,1,0,7,3,1,2,50,1,1,100,0,0,0,4,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN
