player_name,team,games_played,total_points,total_rebounds,total_assists,total_steals,total_blocks,avg_efficiency,avg_minutes,points_per_game,rebounds_per_game,assists_per_game
Bella Alana Hasan,Indonesia,4,13,6,5,0,0,2,12.4,3.25,1.5,1.25
Angelica Surada,Philippines,5,12,11,2,6,2,5,18.46,2.4,2.2,0.4
Adelaide Callista Wongsohardjo,Indonesia,4,10,7,9,4,0,2.5,21.77,2.5,1.75,2.25
Bailey Flavell,New Zealand,5,10,4,3,0,1,-0.4,8.78,2,0.8,0.6
Ashlee Strawbridge,New Zealand,5,10,6,8,1,1,3.4,10.17,2,1.2,1.6
Juyeon Lee,Korea,6,10,1,2,1,1,1.83,3.29,1.67,0.17,0.33
Maygen Naassan,Lebanon,4,10,15,6,2,1,2.75,21.63,2.5,3.75,1.5
Tina Rita Raffoul,Lebanon,4,9,7,2,1,0,1.25,11.84,2.25,1.75,0.5
Ella Tofaeono,New Zealand,5,9,19,2,0,1,3.6,6.14,1.8,3.8,0.4
Yuan Li,China,5,8,7,14,3,0,3.2,13.67,1.6,1.4,2.8
Miwa Kuribayashi,Japan,6,6,10,0,2,0,1.17,7.34,1,1.67,0
Nathania Claresta Orville,Indonesia,4,6,6,2,2,0,-1.5,14.51,1.5,1.5,0.5
Olivia Williams,New Zealand,5,6,3,3,2,1,0.8,5.28,1.2,0.6,0.6
Yuni Anggraeni,Indonesia,4,4,4,1,0,0,1,5.34,1,1,0.25
Mariam Jomaa,Lebanon,4,3,2,0,1,0,0.75,4.2,0.75,0.5,0
Ella Fajardo,Philippines,5,3,1,0,1,0,0.2,3.22,0.6,0.2,0
Jesslyn Angelique Aritonang,Indonesia,4,2,5,1,0,1,-2.5,10.35,0.5,1.25,0.25
Melody Saneh,Lebanon,4,1,1,0,1,0,0.25,4.67,0.25,0.25,0
Cielo Pagdulagan,Philippines,5,0,2,0,0,0,-0.4,1.99,0,0.4,0
PERLA BOU NASR,Lebanon,4,0,0,0,1,0,-1.25,5.4,0,0,0
Yvette Marie Villanueva,Philippines,5,0,0,2,1,0,0.6,2.04,0,0,0.4
